ID,Address,City,Country,latitude,longitude
133,גבעת שאול ,ירושלים,ישראל,31.7911185,35.1931023
134,גדוד מכמש ,ירושלים,ישראל,31.8264438,35.2424886
135,גדליה בובליק ,ירושלים,ישראל,31.815584,35.2007746
136,גואטמלה ,ירושלים,ישראל,31.7565155,35.17856
137,גואטמלה ,ירושלים,ישראל,31.7565155,35.17856
138,גיא בן הינום ,ירושלים,ישראל,31.7698758,35.22657992
139,גלעדי ,ירושלים,ישראל,31.7536269,35.2236156
142,דב גרונר ,ירושלים,ישראל,31.7509015,35.2362161
143,דב סדן ,ירושלים,ישראל,31.8225618,35.243317
144,דברי חיים ,ירושלים,ישראל,31.7970479,35.2094757
145,דברי חיים 4,ירושלים,ישראל,31.7965467,35.2103456
146,דברי ירוחם ,ירושלים,ישראל,31.7619708,35.1891176
147,דגל ראובן ,ירושלים,ישראל,31.788162,35.1978379
148,דגן ,ירושלים,ישראל,31.7374295,35.1828302
149,דהומיי ,ירושלים,ישראל,31.7569048,35.1639399
150,דהומיי 4,ירושלים,ישראל,31.7570981,35.1665808
151,דוד איילון ,ירושלים,ישראל,31.7530584,35.1924496
152,דוד ניב ,ירושלים,ישראל,31.8193899,35.2387648
153,דוד פרידמן 4,ירושלים,ישראל,31.7900598,35.2212839
154,דוד רמז 4,ירושלים,ישראל,31.767222,35.2244565
157,דיסקין ,ירושלים,ישראל,31.776193,35.2106112
158,דניאל ,ירושלים,ישראל,31.7816683,35.2257044
159,דניאל ינובסקי ,ירושלים,ישראל,31.7558617,35.223669
160,דניאל ינובסקי 4,ירושלים,ישראל,31.7557627,35.224839
162,דרך בית חנינא ,ירושלים,ישראל,31.8300248,35.2352021
163,דרך בית לחם ,ירושלים,ישראל,31.7432712,35.2138087
164,דרך בית לחם ,ירושלים,ישראל,31.7432712,35.2138087
165,דרך בית לחם הישנה ,ירושלים,ישראל,31.7681295,35.2456144
166,דרך בית לחם הישנה 4,ירושלים,ישראל,31.7681295,35.2456144
167,דרך ג'בל מוכבר ,ירושלים,ישראל,31.756676,35.24295
170,דרך הרכבת ,ירושלים,ישראל,31.938517,34.886278
171,דרך השילוח ,ירושלים,ישראל,31.769818,35.235152
173,דרך חברון ,ירושלים,ישראל,31.7613082,35.2246103
174,דרך חברון ,ירושלים,ישראל,31.7613082,35.2246103
175,דרך חברון 4,ירושלים,ישראל,31.7516082,35.2194469
176,דרך חברון 4,ירושלים,ישראל,31.7516082,35.2194469
177,דרך חיים ע. קוליץ ,ירושלים,ישראל,31.7516056,35.179429
178,דרך יריחו ,ירושלים,ישראל,31.776432,35.2402703
182,דרך ענתות ,ירושלים,ישראל,31.810009,35.233612
183,דרך ענתות  ,ירושלים,ישראל,31.810009,35.233612
184,דרך רמאללה ,ירושלים,ישראל,31.8412755,35.2301583
186,דרך שועפאת ,ירושלים,ישראל,31.810009,35.233612
187,דרך שועפאת 4,ירושלים,ישראל,31.805693,35.234709
190,דרך שכם ,ירושלים,ישראל,31.789166,35.228845
191,דרך שער האריות ,ירושלים,ישראל,31.781324,35.238942
192,האדמו''ר מליובאוויטש ,ירושלים,ישראל,31.8085776,35.2170277
193,האומן ,ירושלים,ישראל,31.7449227,35.2155197
194,האומן 4,ירושלים,ישראל,31.745526,35.2137915
195,האייל 4,ירושלים,ישראל,31.7537464,35.1865536
196,הארבעה ,ירושלים,ישראל,31.8259067,35.2425923
197,הגומא ,ירושלים,ישראל,31.7360464,35.1903141
198,הגננת ,ירושלים,ישראל,31.731421,35.1932568
199,הדבש 4,ירושלים,ישראל,31.728576,35.1886449
200,הדולב ,ירושלים,ישראל,31.7328878,35.1881491
201,הדישון ,ירושלים,ישראל,31.7514652,35.1812009
202,הדף היומי ,ירושלים,ישראל,31.8167415,35.2060553
203,הדרך האמריקאית ,ירושלים,ישראל,31.746886,35.24922
204,ההגנה ,ירושלים,ישראל,31.8021133,35.2382601
205,ההגנה 4,ירושלים,ישראל,31.8013813,35.2384404
206,הורקניה ,ירושלים,ישראל,31.7575981,35.2022193
207,הזית ,ירושלים,ישראל,31.7898939,35.2114658
208,החומה השלישית ,ירושלים,ישראל,31.7850886,35.2262471
209,החומה השלישית ,ירושלים,ישראל,31.7850886,35.2262471
210,החלוץ ,ירושלים,ישראל,31.7823508,35.1925624
211,החסידה ,ירושלים,ישראל,31.7333733,35.181487
